listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
10704,"Cosy Room Superhost 5* Breakfast, No cleaning fee!",Private room in townhouse,private_room,https://a0.muscache.com/im/pictures/98170280-fcef-4118-a872-7e080bc11bbc.jpg,38,37456,Susan  And Steve,,,FALSE,39.9285,-75.1589,,,1,0,TRUE,"Wifi,Air conditioning,Board games,Room-darkening shades,Books and reading material,Ceiling fan,Hot water,Body soap,Breakfast,Conditioner,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Refrigerator,Heating,Clothing storage,Washer,Dryer,Smoke alarm,Shower gel,Carbon monoxide alarm,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Bidet,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron",,,2,Flexible,USD,27,,638,4.89,4.9,5,4.9,5,4.7,4.9,1689,1689,84.7,84.7,0.052,0.104,4.4,4.4,8.8,8.8,19,183,346,365,879,879,85.2,85.2,0.111,0.169,9.5,9.5,14.4,14.4,10,31,80,90
147570,Secure Luxury High Rise-CC West-Logan Square,Private room in condo,private_room,https://a0.muscache.com/im/pictures/11738174/3f263959_original.jpg,12,712937,Edward,,,FALSE,39.9618,-75.171,,,1,0,FALSE,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Pool,Elevator,Gym,Paid parking off premises,Paid parking on premises",,FALSE,32,Moderate,USD,,,78,4.9,4.8,5,4.8,5,4.9,4.8,3958,3958,80.6,80.6,0.123,0.13,10.8,10.8,11.4,11.4,45,18,320,365,0,0,70.1,70.1,0,0,0,0,0,0,0,0,90,90
382870,2 Bedroom ~ Rittenhouse Sq~ Downtown Philly!,Entire condo,entire_home,https://a0.muscache.com/im/pictures/4322533/8b648867_original.jpg,32,1499093,Andres,8510604,Andy,TRUE,39.9519,-75.1747,4,2,2,1.5,TRUE,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Sound system,Books and reading material,Children’s books and toys,Air conditioning,Ceiling fan,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Coffee,Private entrance,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed",,FALSE,2,Firm,USD,0,0,300,4.74,4.7,4.9,4.8,4.9,4.8,4.6,50910,50910,245.3,245.3,0.548,0.599,139.5,139.5,152.4,152.4,200,31,165,365,10601,10601,238.1,238.1,0.456,0.569,117.8,117.8,147.2,147.2,41,18,49,90
493612,Townhouse in Center City,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/12708168/b7149228_original.jpg,37,2439230,Kaitlin,,,FALSE,39.9488,-75.1534,12,4,8,4.5,TRUE,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Books and reading material,Ceiling fan,Cleaning products,Heating,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Sound system,Crib,Pack ’n play/Travel crib,Room-darkening shades,Game console,Hot water,Bed linens,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Arcade games,Toaster",,FALSE,31,Firm,USD,350,0,65,4.58,4.7,4.8,4.7,4.5,4.8,4.4,12062,12062,451.1,451.1,0.066,0.086,28.3,28.3,37.1,37.1,24,87,341,365,3155,3155,499.3,499.3,0.056,0,31.2,31.2,0,0,5,0,85,90
697188,"Pri. BdRm/Ample Parking, Oasis near Univ. City",Private room in home,private_room,https://a0.muscache.com/im/pictures/11768070/bd7167d2_original.jpg,24,3571420,Kehinde,,,TRUE,39.9654,-75.2151,,,1,0,FALSE,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Pets allowed,Mini fridge,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Washer,Smoke alarm,First aid kit,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance,Bathtub,Bikes,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Barbecue utensils,Toaster",,FALSE,31,Moderate,USD,,,39,4.74,4.9,4.8,4.6,5,4.4,4.7,530,530,44.5,44.5,0.033,0,1.5,1.5,0,0,12,0,353,365,236,236,38.4,38.4,0.067,0,2.6,2.6,0,0,6,0,84,90
713029,Location! Location! Location!  I,Private room in townhouse,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NzEzMDI5/original/572b7f6e-e1a2-4501-bd56-2e7e17a9f723.jpeg,37,3491311,Nancy,,,TRUE,39.9281,-75.1514,,,2,0,TRUE,"Wifi,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Ethernet connection,TV,Books and reading material,Air conditioning,Indoor fireplace,Ceiling fan,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Refrigerator,Microwave,Dishes and silverware,Freezer,Hot water kettle,Toaster,Dining table,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free street parking,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,FALSE,2,Firm,USD,0,0,229,4.85,4.9,4.9,4.9,4.9,4.7,4.8,18306,18306,80.3,80.3,0.633,0.692,50.2,50.2,54.8,54.8,231,31,134,365,4661,4661,83.8,83.8,0.633,0.966,51.8,51.8,79,79,57,31,33,90
818937,Walkable Pvt Bed & Bath. Historic Home,Private room in townhouse,private_room,https://a0.muscache.com/im/pictures/05a18aa7-5b65-4341-9cf8-2a20b0c7070a.jpg,33,4301398,Carrie,,,TRUE,39.9339,-75.1489,,,1,0,TRUE,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Ethernet connection,Books and reading material,Air conditioning,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Rice maker,Dining table,Coffee,Waterfront,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free street parking,Pool,Luggage dropoff allowed,Long term stays allowed",,FALSE,3,Flexible,USD,0,0,637,4.93,4.9,5,4.9,5,4.8,4.9,26107,26107,103,103,0.69,0,71.5,71.5,0,0,252,0,113,365,5218,5218,109.9,109.9,0.533,0,58,58,0,0,48,0,42,90
999068,Rittenhouse★ROOFDECK★4BR★2800SF★GR8 for FAMILY,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-999068/original/70eae822-b6a0-4be8-b026-c337b0cf85db.jpeg,38,239792,Faye,17695329,Abigail,TRUE,39.9489,-75.1664,6,4,4,2.5,TRUE,"TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Paid parking off premises,Books and reading material,Ceiling fan,Conditioner,Laundromat nearby,Outdoor furniture,Cleaning products,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Bathtub,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Patio or balcony,Long term stays allowed,Dining table,Baking sheet,Toaster",,FALSE,3,Super Strict 30 Days,USD,179,0,194,4.92,4.9,4.9,4.9,4.9,5,4.8,121686,121686,394.7,394.7,0.789,0.807,310.8,310.8,317.8,317.8,288,8,77,365,21072,21072,338.7,338.7,0.633,0.695,212.3,212.3,233,233,57,8,33,90
1048914,Rittenhouse Square City Center Condo!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1048914/original/69944f3c-32b7-46ae-9c6c-693542139248.jpeg,29,1197888,Louise,,,TRUE,39.9535,-75.1745,4,1,2,1,FALSE,"TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Hot water,Elevator,Bed linens,Extra pillows and blankets,Microwave,Cleaning products,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Washer,Dryer,Single level home,Smoke alarm,Essentials,Hangers,Dining table,Iron,Dedicated workspace,Freezer,Toaster,Bathtub",FALSE,FALSE,31,Strict,USD,,,16,4.31,4.7,4.8,4.8,4.8,4.9,4.6,7102,7102,124.4,124.4,0.159,0.24,19.5,19.5,29.3,29.3,58,123,307,365,1660,1660,127,127,0.144,0,18.4,18.4,0,0,13,0,77,90
1122607,Beautiful G-town Kid-Friendly; TOYS and costumes!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1122607/original/af45b2ee-9436-44fd-95de-d99480a6c21b.jpeg,57,1673114,Candice,,,FALSE,40.0308,-75.1751,4,3,4,1,TRUE,"TV,Children’s books and toys,Wifi,Air conditioning,Kitchen,Pack ’n play/Travel crib,Hot water,Free street parking,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Smoke alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Baking sheet,Bathtub",,FALSE,31,Firm,USD,,,100,4.66,4.8,4.9,4.6,4.9,4.5,4.7,1173,1173,80.6,80.6,0.038,0.054,3.2,3.2,4.5,4.5,14,104,351,365,0,0,78.8,78.8,0,0,0,0,0,0,0,28,90,90
1307688,Apartment center city 2 bd convention center,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/19782989/cba013d8_original.jpg,17,2439230,Kaitlin,,,FALSE,39.9511,-75.1576,6,2,4,1,TRUE,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,Clothing storage,TV,Sound system,Exercise equipment,Crib,Air conditioning,Heating,Smoke alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Elevator,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed",,FALSE,2,Firm,USD,150,0,11,4.82,4.9,4.5,4.7,4.9,5,4.8,20098,20098,282.5,282.5,0.216,0.299,54.7,54.7,75.6,75.6,79,101,286,365,1128,1128,327.2,327.2,0.033,0.042,10.9,10.9,13.6,13.6,3,18,87,90
1557627,Art Museum Area Stunning Studio,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1557627/original/b4bff9e1-948f-4364-b441-91a042178882.jpeg,10,8291608,Valerie,66448953,Tharushi,TRUE,39.9651,-75.1695,2,1,2,1,TRUE,"Hair dryer,Shampoo,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,First aid kit,Wifi,Dedicated workspace,Refrigerator,Microwave,Dishes and silverware,Coffee maker,Private entrance,Patio or balcony,Outdoor furniture,Outdoor dining area,Free parking on premises,Free street parking,Long term stays allowed",,FALSE,1,Moderate,USD,20,0,1807,4.86,4.9,4.9,4.9,4.9,4.9,4.9,38730,38730,119.5,119.5,0.849,0,101.7,101.7,0,0,310,0,55,365,7380,7380,101.7,101.7,0.778,0,78.2,78.2,0,0,70,0,20,90
